scan,case,parameter_value_SI,parameter_value_display,parameter_display_unit,E_mix,i_mix_avg_A_per_m2,I_Au_avg_A_per_m2,I_Pd_avg_A_per_m2
Cdl_Au,low,0.05,5.0,$\mu$F cm$^{-2}$,0.5651659994601932,0.23783796313303168,0.23783796313303168,-0.23783796313303576
Cdl_Au,base,0.2,20.0,$\mu$F cm$^{-2}$,0.5979829354430014,0.08384634584416407,0.08384634584416407,-0.08384634584416462
Cdl_Au,high,1.0,100.0,$\mu$F cm$^{-2}$,0.6320625850517957,0.028402331404659642,0.028402331404659642,-0.02840233140438832
Cdl_Pd,low,0.05,5.0,$\mu$F cm$^{-2}$,0.5665800259042453,0.03441282977030803,0.03441282977030803,-0.034412829770267966
Cdl_Pd,base,0.4,40.0,$\mu$F cm$^{-2}$,0.5979829354430014,0.08384634584416407,0.08384634584416407,-0.08384634584416462
Cdl_Pd,high,1.0,100.0,$\mu$F cm$^{-2}$,0.6080844590182917,0.11164837332946381,0.11164837332946381,-0.11164837332945617
pzc_Au,low,0.63,0.63,V,0.5544836970565546,0.33395677281673464,0.33395677281673464,-0.33395677282805036
pzc_Au,base,0.93,0.93,V,0.5979829354430014,0.08384634584416407,0.08384634584416407,-0.08384634584416462
pzc_Au,high,1.23,1.23,V,0.6402549290688845,0.021891727626472214,0.021891727626472214,-0.021891727617790388
pzc_Pd,low,0.48,0.48,V,0.5371414823275649,0.014932959710863853,0.014932959710863853,-0.014932959710864826
pzc_Pd,base,0.78,0.78,V,0.5979829354430014,0.08384634584416407,0.08384634584416407,-0.08384634584416462
pzc_Pd,high,1.08,1.08,V,0.6591099264987231,0.474887309571133,0.474887309571133,-0.4748873095755106
